Dates,Population,Population_growth,Net_migration,Urban_population_growth,Life_expectancy,Fertility_rate,Adolescent_fertility_rate,Children_Mortality_rate,Immunization,Population_density,Surface_area,Agricultural_land,Arable_land,Forest_area,GDP,GDP_growth,GDP_deflator,Gross_National_Income_per_capita,Gross_National_Income,Poverty_ratio,Agriculture_value_added ,Industry_value_added,HighTech_exports,Merchandise_trade,Trade_index,Tax_revenue,Imports_goods_services,Exports_of_goods_and_services,Military_expenditure,Domestic_credit_provided_financial_sector,Time_required_to_start_a_business,Foreign_direct_investment,Electric_power_consumption,Energy_use,CO2_emissions,MobilePhone_subscriptions (per 100 people)
1989,57940212,0.541862135825315,,0.6433335805916961,76.3487804878049,1.79,9.1174,9.3,58.0,105.81411253922701,549086.015625,56.14099398688371,32.342950229317395,,1025211803413.53,4.34386106392253,3.28524754675101,19490,1129436061585.39,,3.124996865977149,24.3867093361789,,36.3225431818205,,18.9060014414972,22.3436273030054,21.658153824861802,3.42859595347626,,,10303924628.9084,5860.4376525236,3795.89938331603,6.742280766939548,0.31628792
1990,58235697,,,0.6519240597410649,76.6,1.77,8.7576,9.0,71.0,106.35374610224702,549086.015625,55.87052502944489,32.479738102355,144360.0,1269179616913.63,2.9239351370326,2.65716280719231,20640,1202145937363.39,,3.13683503140822,24.456454677821398,,35.5366564345553,,18.734247316117894,21.760321808445,20.975733380412397,3.33970321935866,,,13183285334.811,5969.01931129973,3846.62651157073,6.45122327633513,0.499763098
1991,58559311,0.5541586643149621,,0.7874927818931559,76.8487804878049,1.75,8.3978,8.6,74.0,106.944750640084,549086.015625,55.6734704505521,32.5646593696964,145212.998046875,1269276828275.78,1.04817582672602,2.54708485014874,21420,1254184480663.76,,2.61435094645532,24.2996963465405,,35.365334811144,,18.918226150515498,21.648797065141203,21.3348844239057,3.3478806174757003,,,15152742089.8424,6359.7742808142,4043.0990214348712,6.67168905043982,0.658893631
1992,58851217,0.497240931314439,122170.0,0.7286882565377221,77.1,1.74,8.038,8.1,76.0,107.477848004914,549086.015625,55.4897490242686,32.59314837180729,146065.99609375,1401465923172.24,1.5993426899858303,1.96705574358329,23840,1403162273046.7,,2.5927887510245498,24.0066384729037,,33.9294015029404,,18.4666925687877,20.6610532607475,21.3305593452775,3.20326237354212,,,21839501253.074,6475.78791786073,3954.00319419053,6.217259024566991,0.764166749
1993,59106768,0.43329224352896506,,0.662863980213677,77.3,1.73,7.8742,7.5,78.0,107.94455154879299,549086.015625,55.319906489585705,32.934477791990005,146919.00390625,"1,32E+12",-0.62866637130098,1.6235029730683002,23580,1393951592724.09,,2.29573275639404,23.061957641892,,33.184519126290695,,18.3840765665474,19.1125443145592,20.792579407224604,3.2019219717103,,,20754044035.6782,6453.00044150612,4001.9015250504,6.089252756977,0.997030157
1994,59327192,0.37223150270307104,,0.601277391382575,77.64878048780491,1.73,7.7104,7.0,80.0,108.347103923685,549086.015625,55.16211658268951,33.0484338004336,147772.001953125,1393982750472.59,2.35834220730796,0.924929462355735,24380,1446230962830.46,,2.4006943155457403,22.2443716113765,,35.6225354891695,,19.0841169775623,20.1659170058998,21.660322731290893,3.1672068411802594,,,15797125294.9865,6530.41188937444,3836.11235131439,5.69923150922093,1.533328688
1995,59541899,0.36124989547780895,,0.5871021996748771,77.75121951219509,1.74,7.5466,6.5,83.0,108.739215548354,549086.015625,55.062217811921904,33.1888742010988,148625.0,1601094756209.75,2.1066952335315503,1.12472293454377,25740,1532495321759.12,,2.44477223085466,22.3097778576723,,36.8843254098219,,19.560147848634895,21.0232025170056,22.622926060086694,2.96734524276981,,,23736300874.0228,6621.94197064491,3981.35250943206,5.86411829088622,2.253379526
1996,59753100,0.35408227072400705,,0.580759971775764,77.95365853658541,1.75,7.3828,6.1,84.0,109.12492429209101,549086.015625,54.963785045895605,33.2471327301431,149477.998046875,1605675086549.56,1.4129936849403502,1.35807805403303,27110,1619760912775.13,,2.40428151846333,21.6751872206065,,37.371757525956895,,20.475042842335398,21.2736750818117,23.055564871999998,2.8744588744588704,,,21971888803.0024,6905.164752958421,4191.92383324045,6.2809536074279,4.24515193
1997,59964851,0.35375015868672605,193631.0,0.577253702521508,78.3048780487805,1.77,7.2189999999999985,5.8,83.0,109.511637480926,549086.015625,54.860233747500494,33.3660217910369,150330.99609375,1452884917959.09,2.33629649806078,0.878201670843353,26930,1614713730821.34,,2.34425581519473,21.5273013056389,,40.41414380051629,,21.1882637144689,22.510301467306398,25.523195415760004,2.82795238120884,,,23047924754.756,6833.136298462579,4049.2325078903295,5.86281159941513,9.991814074
1998,60186288,0.368597838613228,,0.590280085914884,78.60487804878049,1.78,7.3606,5.6,82.0,109.916039861061,549086.015625,54.7513891375826,33.453500541102,151184.00390625,1503108739159.44,3.58865943785973,0.9502626792539528,25830,1554341527180.06,,2.36245983418843,21.4448448697237,,41.8068223295283,,23.1322527768408,23.380274814039,26.1264919786729,2.65032647029385,,,29518429032.2114,7015.50160395338,4151.62719455302,6.27126746876298,19.180844600000004
1999,60496718,0.514456334749952,,0.77532892185055,78.75609756097559,1.81,7.5022,5.5,83.0,110.482966936778,549086.015625,54.6584315960761,33.517601687581895,152037.001953125,1492647560196.04,3.42137381630556,0.20381113779267,-1000000,1538005257152.69,,2.23626141060772,21.201728195380607,,42.9621845840004,,23.74555584979,23.6843852136939,26.0765353865349,2.59274698382782,,,45986859387.4475,7149.296925496021,4123.52627129293,6.098157837256559,36.51090368
2000,60912500,0.6849292538185521,,1.02423813392003,79.05609756097559,1.89,7.6438,5.4,84.0,111.242096161892,549086.9921875,54.4360796320941,33.5199174758511,152890.0,1362248940482.77,3.92366920384049,1.5532902757176,24970,1520721888371.18,,2.0983575513075,21.293939814079,,48.9301903779627,100.0,23.5032142217052,27.2662714690058,28.594974249028606,2.48223808573738,,,41382267637.1702,7224.52698542992,4135.4776441617105,5.94666546275395,49.22869227
2001,61357430,0.7277864048724442,,1.06463355533666,79.15853658536591,1.9,7.7854,5.2,85.0,112.054654271399,549086.9921875,54.2642292270887,33.5043942611189,154034.00390625,1376465324384.79,1.98372140247594,2.00833420154926,23840,1462971642285.49,,2.10700819139254,20.9383695228189,,47.36675806137041,97.12365164,23.486737745416693,26.693472890391398,28.2658952021844,2.41756598621766,102.78097776621999,,50126614944.0104,7342.25667535293,4246.00494186279,6.1530605991809,62.30182837
2002,61805267,0.727231515093808,926483.0,1.05901944209546,79.2609756097561,1.88,7.927,5.1,86.0,112.872521320344,549086.9921875,54.076852040436,33.5511458179882,155177.998046875,1494286655373.61,1.13553148770353,2.0674257357757897,23090,1426966918668.51,,2.01085885192927,20.649452806316,,44.2338822757362,102.556998,22.669569582115003,25.5409745004028,27.531050257930797,2.43609355919309,100.525182497612,,51493238175.3571,7299.2484604912415,4225.4679686118,6.068664471589449,64.52020043
2003,62244886,0.708779199037771,,1.03816520596862,79.1146341463415,1.89,7.7912,4.9,87.0,113.613134004426,549386.9921875,53.9083391234258,33.5022935182931,156322.001953125,1840480812641.08,0.8231607778394191,1.85936822273602,-1000000,1614305124736.21,0.0,1.8501642887016696,20.1918111986146,,42.97132545843229,121.5666898,22.2164440786771,24.6858645485955,26.1119689746398,2.49493151877822,102.605929111173,41.0,42324928757.8752,7529.55029912016,4270.9494559922605,6.11599810786062,69.21311352
2004,62704895,0.7363135407331429,,1.06331691370923,80.16341463414629,1.92,7.6554,4.7,88.0,114.515476452475,549086.9921875,53.79871469779489,33.5447539060396,157465.99609375,2115742488204.62,2.82975292855139,1.62267544020716,31360,1966477083254.76,0.0,1.82269094417374,19.9575239477964,,43.6277574017661,132.67441440000002,22.2653033798332,25.4561715567725,26.4688363216607,2.50525375597338,103.09673777111601,7.0,35581202492.2809,7661.4911802340075,4301.7372248211295,6.12007856802886,73.386296
2005,63179351,0.753800831613331,,1.07455325320471,80.16341463414629,1.94,7.5196,4.6,87.0,115.384063944828,549086.9921875,53.675509234590905,33.5628982399735,158610.0,2196126103718.44,1.6632200004964095,1.93634139876377,35870,2266354698424.61,0.0,1.68010170422531,19.6096052732169,,44.057215037049,129.179321,22.4107752115771,26.947655734595,27.033051041817107,2.40924625050611,106.060008890625,7.0,85179159787.3156,7652.86430371847,4287.1574131871,6.0995988546954205,78.67784699
2006,63621381,0.6972070012649291,,1.01693481077796,80.8121951219512,2.0,7.3838,4.5,89.0,116.191340641695,549086.9921875,53.533604057625595,33.4924040084583,159735.99609375,2318593651988.46,2.44932360050809,2.15532739188613,37850,2408021758247.08,0.0,1.51849064281003,19.2840844714528,,44.7593306878064,129.5534847,22.68494295109,28.16836935943,27.935055090195604,2.3513771331455096,127.01840921007,7.0,78945704919.8979,7540.29529789679,4188.84293002065,5.9062663855096105,83.99106172
2007,64016225,0.6186973759237421,446120.0,0.933540345573458,81.1121951219512,1.98,7.247999999999998,4.4,90.0,116.912441834144,549086.9921875,53.3389218402565,33.395974263238394,160862.001953125,2657213249384.07,2.4247362379150803,2.55663702091118,40130,2568721276361.97,0.0,1.6129929533935,19.136739193143,20.318869134018602,44.801560442164295,141.58629330000005,22.262692133349802,28.567499072814893,27.853257510198997,2.2805146907322698,137.582004368072,7.0,83780962091.2732,7513.57956518055,4115.52736825703,5.7663853499640085,89.47598456
2008,64374984,0.558854358516408,,0.87656291770773,81.2146341463415,2.01,7.127999999999999,4.3,89.0,117.567641210864,549086.9921875,53.1635976249333,33.364014119820105,161987.998046875,2918382891460.38,0.254945945817809,2.36707385504435,43460,2797477712975.76,0.0,1.5152229996285802,18.8138306949478,21.7398828521891,45.6771797799617,148.5395532,22.1484857306337,29.2776980294924,28.1193848563025,2.26176733354079,143.23904074523898,6.5,67999194663.2055,7643.450443420691,4110.585658553329,5.690501857056769,93.18877831
2009,64707040,0.514489503911642,,0.8337494629729449,81.4146341463415,2.0,7.007999999999999,4.3,89.0,118.174073061316,549086.9921875,52.998867341078,33.3411854459499,163114.00390625,2690222283967.77,-2.8733138520625494,0.0666275003291759,43930,2842711810569.38,0.0,1.32316199671353,18.3048426427711,24.38033203128,38.868684057504,144.51696230000005,20.830893266034,25.6269036398058,24.8355472102672,2.48633820520527,140.570030706117,6.5,18380195792.7671,7338.04235211501,3913.4576392306,5.438357062848178,92.60523577
2010,65027507,0.494035951436993,,0.81611071097678,81.66341463414629,2.03,6.888,4.3,89.0,118.759339991649,549086.9921875,52.827926944534,33.4224555249279,164240.0,2642609548930.36,1.9494376332686896,1.06969746615759,43850,2851169044379.02,0.0,1.60402828863388,17.8457356302771,26.5903495286063,42.943801533576796,133.1722259,22.089431656266303,28.0794912416196,26.7882998402738,2.33790693979669,143.848134280297,6.5,38899924637.7217,7734.72678262139,4016.8479471310498,5.4289808618989515,91.89795153
2011,65342780,0.483658695308374,,0.805969410649883,82.1146341463415,2.01,6.768,4.2,89.0,119.33512115141599,549086.9921875,52.7408105848571,33.3744261352931,165370.0,2861408170264.61,2.1927006520261,0.9479602062592252,44350,2898076657735.14,0.0,1.6502871934041003,17.978166208294002,25.3185266709264,46.0088502465644,135.06082419999998,21.959425156519604,30.369238945981003,28.421337476419396,2.25766128424981,145.879140231902,6.5,44191741839.7551,7232.97968038703,3847.07272938188,5.077911102037589,94.61229513
2012,65659809,0.484005119770168,423831.0,0.809085451887715,81.9682926829268,2.01,6.648,4.2,91.0,119.91410928328699,549086.9921875,52.6790839909002,33.3877559406452,166500.0,2683825225092.63,0.31313474167846805,1.1618250412134,43380,2848546969620.02,0.0,1.63179503677703,17.8685506155676,26.8529321487581,46.3190742965424,123.7363754,22.6825015654892,30.499031981938,29.2030271868495,2.23692601124854,147.673692696873,6.5,32950453827.8547,7363.42379552155,3836.6565915535907,5.07506234140888,97.94818377
2013,65998687,0.514784474469256,,0.8400748102748191,82.21951219512201,1.99,6.2638,4.2,90.0,120.53300011078998,549086.9921875,52.54923164034221,33.431586994476,167630.0,2811077725703.59,0.576326679441848,0.7781005264646551,43780,2889474971240.3,0.0,1.45863217691004,17.971801289351102,27.283345380615696,44.9091104261098,127.2165754,23.368674218503894,30.399317207863803,29.364737867049197,2.22039695086268,143.813566006625,6.5,31589259642.153,7367.843545129921,3833.53414288378,5.06217196411801,99.10863425
2014,66316100,0.4797855418658429,,0.80653902229073,82.67073170731709,2.01,5.8796,4.1,91.0,121.112689539524,549086.9921875,52.5360837509851,33.4816281609955,168760.0,2852165760630.27,0.956183047683851,0.5769442376618629,43320,2872584172883.21,0.0,1.55635615985933,17.7459396724758,27.6121057714371,44.163772575463895,127.3695378,23.3178975376378,30.8121120215465,29.666684498073,2.2303600626115,146.773577577084,4.5,5809580555.104429,6939.52147366929,3658.86526801184,4.57318159541951,100000.0
2015,66593366,0.41722596675643897,,0.745428418323166,82.3219512195122,1.96,5.4954,4.1,91.0,121.61905874666701,549086.9921875,52.4637632255604,33.7475358408396,169890.0,2438207896251.84,1.1129123405747,1.1382487853323502,41080,2735457580992.28,0.0,1.60564438654459,17.6796917075443,28.3566837468163,44.172689361545494,109.1508509,23.3604678243403,31.1590715564548,30.5926223781313,2.26989054016681,147.414475407927,4.0,42803255076.3836,6939.52147366929,3689.51776667964,4.391459876239121,103.4564614
2016,66859768,0.3992448073382971,,0.727623313402784,82.5243902439024,1.92,5.1112,4.1,90.0,122.105587096777,549086.9921875,52.447544166171596,33.5233047587298,171020.0,2471285607081.72,1.09546439462306,0.522559352446279,38990,2606855586179.33,,1.43711486668854,17.4341320487761,28.0759901767912,43.25020130968039,108.5283258,23.204837321390094,30.852605198715,30.2475371833945,2.32732364460048,154.814113240551,3.5,32795665103.6802,7116.08871583346,,4.47742480912357,104.4897355
2017,66865144,0.00804038667515457,182636.0,0.336590253543727,82.5243902439024,1.92,4.727,4.1,90.0,122.115405252835,549086.9921875,,,,2586285406561.51,2.2602027208113102,0.456887071894911,38330,2562862549741.68,,1.55176568137781,17.2059764808199,26.0907368457037,44.61367632020311,108.6862091,23.8061003118433,31.878166307417306,30.819894704415496,2.34967851446849,157.440819707346,3.5,37539114578.5186,7057.66506042365,,4.56338974165239,106.4394347
